epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.4065,1.00325,0.7721,1.27378,0.97495,0.99049,0.99478,0.93175,0.36113,0.39007,0.87555,0.000416054,0.000416054,0.000416054
2,104.775,1.0263,0.79689,1.29202,0.98314,1,0.995,0.87201,0.65411,0.46865,0.9845,0.000816233,0.000816233,0.000816233
3,151.494,1.09976,0.81745,1.32903,0.97569,0.98333,0.99159,0.88002,0.48665,0.50462,0.91822,0.00119991,0.00119991,0.00119991
4,198.819,1.06645,0.79038,1.30643,0.95445,0.99291,0.99283,0.91359,0.45368,0.50841,0.91167,0.00117575,0.00117575,0.00117575
5,245.909,1.06152,0.76917,1.32058,0.98932,0.99495,0.995,0.88297,0.54008,0.42221,0.93218,0.001151,0.001151,0.001151
6,292.552,1.06234,0.77231,1.32281,0.9884,0.98508,0.99489,0.87465,0.43284,0.3988,0.89042,0.00112625,0.00112625,0.00112625
7,339.635,1.06078,0.78225,1.32277,0.98556,0.97922,0.995,0.89054,0.38331,0.36421,0.87464,0.0011015,0.0011015,0.0011015
8,385.935,1.02607,0.73645,1.29304,0.97504,0.9889,0.99468,0.90248,0.4879,0.43485,0.90196,0.00107675,0.00107675,0.00107675
9,430.077,1.03156,0.73469,1.29568,0.98378,1,0.995,0.92463,0.39752,0.3498,0.87132,0.001052,0.001052,0.001052
10,471.149,1.01715,0.72462,1.29646,0.97792,1,0.995,0.91508,0.53498,0.39125,0.91835,0.00102725,0.00102725,0.00102725
11,512.306,0.97677,0.70468,1.26169,0.9809,1,0.995,0.90928,0.48075,0.40549,0.91228,0.0010025,0.0010025,0.0010025
